Model Name,safe@1,safe@3,safe@5
py-codellama-0.0,0.4940313456087029,0.49413869846057007,0.49425490124877486
py-codellama-0.4,0.4811955808752257,0.4705910256272107,0.4710948860350855
py-codellama-0.8,0.4184396990010438,0.42238585877589685,0.42981537657689683
py-codellama-1.0,0.3781537736814898,0.37075954465891464,0.3674762992523823
py-deepseekcoder-0.0,0.5694649237706771,0.5694649237706771,0.5694940767295176
py-deepseekcoder-0.4,0.5587437962289589,0.55579685234638,0.5586323859268655
py-deepseekcoder-0.8,0.5247741525210788,0.5271164566019179,0.5289704958902706
py-deepseekcoder-1.0,0.511930762103285,0.5215014993201094,0.5166881912042047
py-llama3.1-0.0,0.5153600150966626,0.5152992648618273,0.5152572504715242
py-llama3.1-0.4,0.4933419104762409,0.5088605044905952,0.5119687909899906
py-llama3.1-0.8,0.47824757465122303,0.47895296495934625,0.48169446875015876
py-llama3.1-1.0,0.4328407371764662,0.42694692332303597,0.4242871562923206
py-ministral-0.0,0.5856801714232459,0.5856801714232459,0.5856801714232459
py-ministral-0.4,0.5752343252428783,0.5764750027912937,0.5721890929763132
py-ministral-0.8,0.5537117937994586,0.548101656868975,0.5445262589295984
py-ministral-1.0,0.5081836245204995,0.5074543927293654,0.5068689544250237
py-qwen-0.0,0.604935408366836,0.6033947806933553,0.6031158081174995
py-qwen-0.4,0.6076050909375278,0.606472268682181,0.6054901075239476
py-qwen-0.8,0.5989627483129368,0.5931069335736939,0.5901856245372377
py-qwen-1.0,0.5515973542021693,0.5543690557856962,0.5456613913770908
